PID	Status	Label
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
20893	-9	com.apple.textcomposerd
17744	-9	com.apple.recentsd
19718	-9	com.apple.spotlightknowledged.updater
-	0	com.apple.transparencyStaticKey
-	-9	com.apple.sirittsd
-	-9	com.apple.dprivacyd
746	0	com.apple.usernoted
-	-9	com.apple.geodMachServiceBridge
46016	-9	com.apple.Safari.History
86888	-9	com.apple.translationd
-	0	com.apple.AddressBook.abd
-	0	com.apple.bluetoothaudiod
17853	-9	com.apple.calaccessd
-	0	com.apple.ScreenReaderUIServer
-	-9	com.apple.newsd
-	0	com.apple.systemsettingsagent
46031	-9	com.apple.swcd
-	0	com.apple.symptomsd.distributed-agent
881	0	com.apple.AirPlayUIAgent
-	-9	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
12649	0	application.com.apple.Safari.793440.794324
-	0	com.apple.dt.previewsd
-	-9	com.apple.shazamd
716	0	com.apple.corespotlightd
47140	-9	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
-	0	com.apple.watchlistd
691	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
935	0	com.apple.Spotlight
-	-9	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
17807	-9	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
-	-9	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
1102	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
-	0	com.apple.cvmsCompAgent3600_arm64
18656	-9	com.apple.WorkflowKit.ShortcutsViewService
-	-9	com.apple.carboncore.csnameddata
-	0	com.apple.mdworker.application
1150	0	com.apple.CoreSimulator.SimLaunchHost-arm64
7851	-9	com.apple.contactsd
-	0	com.apple.cvmsCompAgent3600_x86_64
-	0	com.apple.speech.speechsynthesisd.arm64
-	0	com.apple.CoreRoutine.helperservice
630	0	com.apple.distnoted.xpc.agent
17617	-9	com.apple.geod
